start training
[0/100][0/39]	Loss_D: 1.384644	Loss_g: 2.726028	D(x): 0.660229	D(G(z)): 0.547603 / 0.089288
[1/100][0/39]	Loss_D: 0.051995	Loss_g: 8.905548	D(x): 0.992900	D(G(z)): 0.042020 / 0.000192
[2/100][0/39]	Loss_D: 0.192291	Loss_g: 9.005753	D(x): 0.914310	D(G(z)): 0.003578 / 0.000174
[3/100][0/39]	Loss_D: 0.074944	Loss_g: 9.235178	D(x): 0.950388	D(G(z)): 0.005046 / 0.000167
[4/100][0/39]	Loss_D: 0.100137	Loss_g: 6.400431	D(x): 0.962406	D(G(z)): 0.042997 / 0.002310
[5/100][0/39]	Loss_D: 0.094119	Loss_g: 9.635094	D(x): 0.994725	D(G(z)): 0.083757 / 0.000082
[6/100][0/39]	Loss_D: 0.047262	Loss_g: 6.798917	D(x): 0.988822	D(G(z)): 0.031041 / 0.001448
[7/100][0/39]	Loss_D: 0.020627	Loss_g: 6.435257	D(x): 0.992065	D(G(z)): 0.012395 / 0.001961
[8/100][0/39]	Loss_D: 0.027594	Loss_g: 7.032824	D(x): 0.993478	D(G(z)): 0.020487 / 0.001091
[9/100][0/39]	Loss_D: 0.012301	Loss_g: 15.502943	D(x): 0.995987	D(G(z)): 0.007698 / 0.000001
[10/100][0/39]	Loss_D: 0.260812	Loss_g: 3.931417	D(x): 0.923803	D(G(z)): 0.109643 / 0.025725
[11/100][0/39]	Loss_D: 0.353701	Loss_g: 3.373819	D(x): 0.750074	D(G(z)): 0.005298 / 0.043573
[12/100][0/39]	Loss_D: 0.151722	Loss_g: 5.513108	D(x): 0.963198	D(G(z)): 0.095532 / 0.005537
[13/100][0/39]	Loss_D: 0.021885	Loss_g: 4.939983	D(x): 0.987134	D(G(z)): 0.008654 / 0.009421
[14/100][0/39]	Loss_D: 0.036296	Loss_g: 6.960897	D(x): 0.994673	D(G(z)): 0.030148 / 0.001297
[15/100][0/39]	Loss_D: 0.218151	Loss_g: 15.685423	D(x): 0.992619	D(G(z)): 0.179434 / 0.000000
[16/100][0/39]	Loss_D: 0.022133	Loss_g: 7.509503	D(x): 0.997112	D(G(z)): 0.018941 / 0.000655
[17/100][0/39]	Loss_D: 0.009208	Loss_g: 6.695495	D(x): 0.998472	D(G(z)): 0.007631 / 0.001607
[18/100][0/39]	Loss_D: 0.013123	Loss_g: 6.368308	D(x): 0.997217	D(G(z)): 0.010186 / 0.002073
[19/100][0/39]	Loss_D: 0.007009	Loss_g: 6.514621	D(x): 0.998377	D(G(z)): 0.005353 / 0.001768
[20/100][0/39]	Loss_D: 0.006832	Loss_g: 6.417691	D(x): 0.998964	D(G(z)): 0.005769 / 0.001907
[21/100][0/39]	Loss_D: 0.017357	Loss_g: 6.749653	D(x): 0.992597	D(G(z)): 0.002225 / 0.001373
[22/100][0/39]	Loss_D: 0.010333	Loss_g: 6.300034	D(x): 0.994632	D(G(z)): 0.004655 / 0.002142
[23/100][0/39]	Loss_D: 0.007551	Loss_g: 6.596673	D(x): 0.997598	D(G(z)): 0.005104 / 0.001645
[24/100][0/39]	Loss_D: 0.004951	Loss_g: 6.546947	D(x): 0.998234	D(G(z)): 0.003128 / 0.001684
[25/100][0/39]	Loss_D: 0.003622	Loss_g: 6.950524	D(x): 0.998915	D(G(z)): 0.002532 / 0.001194
[26/100][0/39]	Loss_D: 0.007711	Loss_g: 6.639642	D(x): 0.995072	D(G(z)): 0.002534 / 0.001479
[27/100][0/39]	Loss_D: 0.006302	Loss_g: 6.600692	D(x): 0.997067	D(G(z)): 0.003293 / 0.001491
[28/100][0/39]	Loss_D: 0.014627	Loss_g: 6.103193	D(x): 0.996172	D(G(z)): 0.010134 / 0.002325
[29/100][0/39]	Loss_D: 0.066404	Loss_g: 3.531831	D(x): 0.959107	D(G(z)): 0.004647 / 0.029936
[30/100][0/39]	Loss_D: 0.075378	Loss_g: 6.122404	D(x): 0.957762	D(G(z)): 0.028043 / 0.002261
[31/100][0/39]	Loss_D: 0.054155	Loss_g: 5.935699	D(x): 0.974070	D(G(z)): 0.016022 / 0.004281
[32/100][0/39]	Loss_D: 0.120891	Loss_g: 4.979330	D(x): 0.951547	D(G(z)): 0.065274 / 0.008495
[33/100][0/39]	Loss_D: 0.031770	Loss_g: 4.940436	D(x): 0.986097	D(G(z)): 0.017251 / 0.008731
[34/100][0/39]	Loss_D: 0.283471	Loss_g: 4.017635	D(x): 0.860105	D(G(z)): 0.110673 / 0.022907
[35/100][0/39]	Loss_D: 0.121131	Loss_g: 5.120941	D(x): 0.962780	D(G(z)): 0.078372 / 0.007218
[36/100][0/39]	Loss_D: 0.060193	Loss_g: 4.703394	D(x): 0.984398	D(G(z)): 0.042734 / 0.010359
[37/100][0/39]	Loss_D: 0.068589	Loss_g: 4.650840	D(x): 0.964442	D(G(z)): 0.025484 / 0.012668
[38/100][0/39]	Loss_D: 0.054063	Loss_g: 4.789452	D(x): 0.970574	D(G(z)): 0.022195 / 0.009951
[39/100][0/39]	Loss_D: 0.029358	Loss_g: 4.862000	D(x): 0.989656	D(G(z)): 0.018618 / 0.009463
[40/100][0/39]	Loss_D: 0.082879	Loss_g: 4.751307	D(x): 0.932867	D(G(z)): 0.010102 / 0.009664
[41/100][0/39]	Loss_D: 0.145013	Loss_g: 3.984184	D(x): 0.981677	D(G(z)): 0.116133 / 0.020698
[42/100][0/39]	Loss_D: 0.872448	Loss_g: 7.730958	D(x): 0.996492	D(G(z)): 0.555675 / 0.000495
[43/100][0/39]	Loss_D: 0.305116	Loss_g: 4.041363	D(x): 0.947185	D(G(z)): 0.210503 / 0.019443
[44/100][0/39]	Loss_D: 0.076299	Loss_g: 6.676687	D(x): 0.976159	D(G(z)): 0.048257 / 0.003037
[45/100][0/39]	Loss_D: 0.490181	Loss_g: 3.066253	D(x): 0.672518	D(G(z)): 0.004210 / 0.051892
[46/100][0/39]	Loss_D: 0.050804	Loss_g: 3.739096	D(x): 0.976452	D(G(z)): 0.025245 / 0.064345
[47/100][0/39]	Loss_D: 0.213164	Loss_g: 6.365916	D(x): 0.989957	D(G(z)): 0.178710 / 0.002185
[48/100][0/39]	Loss_D: 2.331577	Loss_g: 12.459214	D(x): 0.998836	D(G(z)): 0.891492 / 0.000006
[49/100][0/39]	Loss_D: 0.296451	Loss_g: 3.099419	D(x): 0.795900	D(G(z)): 0.034652 / 0.052170
[50/100][0/39]	Loss_D: 0.627066	Loss_g: 9.696222	D(x): 0.989932	D(G(z)): 0.430649 / 0.000107
[51/100][0/39]	Loss_D: 2.135237	Loss_g: 2.787218	D(x): 0.229728	D(G(z)): 0.001007 / 0.126892
[52/100][0/39]	Loss_D: 0.189794	Loss_g: 3.612006	D(x): 0.852919	D(G(z)): 0.010421 / 0.035662
[53/100][0/39]	Loss_D: 0.039397	Loss_g: 5.875924	D(x): 0.987681	D(G(z)): 0.026260 / 0.003769
[54/100][0/39]	Loss_D: 0.122516	Loss_g: 4.366640	D(x): 0.921717	D(G(z)): 0.029901 / 0.014970
[55/100][0/39]	Loss_D: 0.182155	Loss_g: 5.319910	D(x): 0.955546	D(G(z)): 0.120755 / 0.005866
[56/100][0/39]	Loss_D: 0.230890	Loss_g: 3.557754	D(x): 0.881749	D(G(z)): 0.087280 / 0.032942
[57/100][0/39]	Loss_D: 0.096082	Loss_g: 4.832840	D(x): 0.959440	D(G(z)): 0.043211 / 0.011050
[58/100][0/39]	Loss_D: 0.256591	Loss_g: 4.872061	D(x): 0.938712	D(G(z)): 0.163676 / 0.008953
[59/100][0/39]	Loss_D: 0.136102	Loss_g: 4.361380	D(x): 0.965735	D(G(z)): 0.093548 / 0.015591
