start training
[49/200][0/39]	Loss_D: 0.143060	Loss_g: 3.393446	D(x): 0.911973	D(G(z)): 0.021458 / 0.046649
[50/200][0/39]	Loss_D: 0.220947	Loss_g: 4.531528	D(x): 0.937350	D(G(z)): 0.119473 / 0.018733
[51/200][0/39]	Loss_D: 0.253040	Loss_g: 4.384277	D(x): 0.838973	D(G(z)): 0.025356 / 0.016953
[52/200][0/39]	Loss_D: 0.184856	Loss_g: 3.960438	D(x): 0.862554	D(G(z)): 0.008078 / 0.024242
[53/200][0/39]	Loss_D: 0.152959	Loss_g: 3.378099	D(x): 0.910701	D(G(z)): 0.047478 / 0.040562
[54/200][0/39]	Loss_D: 0.059801	Loss_g: 3.960751	D(x): 0.979576	D(G(z)): 0.036306 / 0.027008
[55/200][0/39]	Loss_D: 0.187389	Loss_g: 6.231750	D(x): 0.979317	D(G(z)): 0.147407 / 0.002961
[56/200][0/39]	Loss_D: 0.144424	Loss_g: 4.210181	D(x): 0.937422	D(G(z)): 0.066822 / 0.019773
[57/200][0/39]	Loss_D: 0.103353	Loss_g: 4.648678	D(x): 0.962340	D(G(z)): 0.057784 / 0.013668
[58/200][0/39]	Loss_D: 0.082121	Loss_g: 4.134609	D(x): 0.941729	D(G(z)): 0.014870 / 0.020953
[59/200][0/39]	Loss_D: 0.201957	Loss_g: 2.345583	D(x): 0.882779	D(G(z)): 0.052317 / 0.116404
[60/200][0/39]	Loss_D: 0.263012	Loss_g: 2.605034	D(x): 0.820150	D(G(z)): 0.016251 / 0.094122
[61/200][0/39]	Loss_D: 0.120953	Loss_g: 3.671657	D(x): 0.938055	D(G(z)): 0.043400 / 0.033130
[62/200][0/39]	Loss_D: 0.224836	Loss_g: 4.879730	D(x): 0.942598	D(G(z)): 0.137004 / 0.011108
[63/200][0/39]	Loss_D: 0.092487	Loss_g: 4.456041	D(x): 0.977018	D(G(z)): 0.064799 / 0.016721
[64/200][0/39]	Loss_D: 0.141915	Loss_g: 4.922274	D(x): 0.977764	D(G(z)): 0.108622 / 0.009230
[65/200][0/39]	Loss_D: 0.170114	Loss_g: 5.630508	D(x): 0.896911	D(G(z)): 0.033378 / 0.008886
[66/200][0/39]	Loss_D: 0.216025	Loss_g: 3.352104	D(x): 0.855291	D(G(z)): 0.024566 / 0.051220
[67/200][0/39]	Loss_D: 0.116085	Loss_g: 4.422448	D(x): 0.965897	D(G(z)): 0.071577 / 0.018923
[68/200][0/39]	Loss_D: 0.322781	Loss_g: 6.186402	D(x): 0.988916	D(G(z)): 0.242386 / 0.003622
[69/200][0/39]	Loss_D: 0.227227	Loss_g: 3.751948	D(x): 0.924139	D(G(z)): 0.117908 / 0.038080
[70/200][0/39]	Loss_D: 0.334178	Loss_g: 5.290311	D(x): 0.981212	D(G(z)): 0.241668 / 0.008983
[71/200][0/39]	Loss_D: 0.121984	Loss_g: 4.280583	D(x): 0.940042	D(G(z)): 0.052840 / 0.023327
[72/200][0/39]	Loss_D: 0.290058	Loss_g: 2.799454	D(x): 0.816157	D(G(z)): 0.039113 / 0.104710
[73/200][0/39]	Loss_D: 2.784131	Loss_g: 1.024867	D(x): 0.130608	D(G(z)): 0.000523 / 0.462957
[74/200][0/39]	Loss_D: 0.221114	Loss_g: 3.360109	D(x): 0.933828	D(G(z)): 0.130989 / 0.044471
[75/200][0/39]	Loss_D: 0.558689	Loss_g: 4.578727	D(x): 0.887382	D(G(z)): 0.305605 / 0.015536
[76/200][0/39]	Loss_D: 0.295406	Loss_g: 4.912372	D(x): 0.963445	D(G(z)): 0.206091 / 0.011796
[77/200][0/39]	Loss_D: 0.139661	Loss_g: 3.672958	D(x): 0.927076	D(G(z)): 0.052642 / 0.039489
[78/200][0/39]	Loss_D: 0.619285	Loss_g: 4.114525	D(x): 0.978415	D(G(z)): 0.400084 / 0.026908
[79/200][0/39]	Loss_D: 0.628505	Loss_g: 1.476366	D(x): 0.620793	D(G(z)): 0.010956 / 0.320610
[80/200][0/39]	Loss_D: 1.924356	Loss_g: 0.917752	D(x): 0.235687	D(G(z)): 0.001379 / 0.508186
[81/200][0/39]	Loss_D: 0.387838	Loss_g: 4.402586	D(x): 0.950252	D(G(z)): 0.254560 / 0.018907
[82/200][0/39]	Loss_D: 0.144558	Loss_g: 4.605614	D(x): 0.901138	D(G(z)): 0.027004 / 0.020800
[83/200][0/39]	Loss_D: 0.270618	Loss_g: 4.102895	D(x): 0.907086	D(G(z)): 0.130747 / 0.026067
[84/200][0/39]	Loss_D: 0.750689	Loss_g: 6.973344	D(x): 0.994223	D(G(z)): 0.461200 / 0.002257
[85/200][0/39]	Loss_D: 0.391718	Loss_g: 5.714676	D(x): 0.966787	D(G(z)): 0.262704 / 0.005280
[86/200][0/39]	Loss_D: 0.206658	Loss_g: 3.187839	D(x): 0.876446	D(G(z)): 0.057364 / 0.064021
[87/200][0/39]	Loss_D: 0.531233	Loss_g: 6.715894	D(x): 0.977505	D(G(z)): 0.344488 / 0.002494
